db_path,table_name,test_category,query,model,AI_answer,SQL_query,failed_attempts,execution_type,valid_efficiency_score,cell_precision,cell_recall,execution_accuracy,tuple_cardinality,tuple_constraint,tuple_order,num_tables,total_columns,total_rows,total_numeric_columns,total_categorical_columns,avg_columns_per_table,avg_rows_per_table,avg_numeric_categorical_ratio,avg_unique_vals,max_unique_vals,avg_data_sparsity,num_columns,num_rows,num_numeric_columns,num_categorical_columns,numeric_categorical_ratio,num_selected_columns,num_order_columns,limit_value,syntax_complexity,has_where,has_group_by,has_having,has_order_by,has_limit,has_distinct,has_join,has_subquery,has_union,has_aggregation,query_complexity,text_length,num_tokens,num_words,num_nouns,num_verbs,num_adjectives,num_entities,num_clauses,avg_sentence_length,keyword_score,semantic_complexity,token_prompt_count
data/db_categorical_simple.sqlite,dataset_animali,ORDERBY-PROJECT,Select only the column `Classe` from `dataset_animali`. Sort it in ascending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['Mammiferi'], ['Mammiferi'], ['Mammiferi'], ['Uccelli'], ['Uccelli']]",SELECT `Classe` FROM `dataset_animali` ORDER BY `Classe` ASC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,5,25,2,3,5.0,25.0,0.6666666666666666,17.0,25,0.0,5,25,2,3,0.6666666666666666,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2151000984191894,113,24,16,3,4,2,3,0,12.0,2,0.1700024604797363,1366
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-SINGLE,"List the top 5 rows from the table `dataset_auto`, sorted by the column `Tipo` in ascending order.",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['Golf VIII', 'Volkswagen', '2021', '130', '5.1', 'Germania', 'Auto'], ['Panda', 'Fiat', '2020', '69', '4.9', 'Italia', 'Auto'], ['Model 3', 'Tesla', '2022', '283', '0.0 (elettrica)', 'USA', 'Auto elettrica'], ['Qashqai', 'Nissan', '2021', '140', '6.2', 'Regno Unito', 'SUV'], ['208', 'Peugeot', '2022', '100', '4.5', 'Francia', 'Auto']]",SELECT * FROM `dataset_auto` ORDER BY `Tipo` ASC LIMIT 5,0,remove,0.0,0.419,0.5,0.0,1.0,0.0,0.5,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,7,1,5.0,14.8,False,False,False,True,True,False,False,False,False,False,0.268837856499354,98,23,15,5,3,1,2,0,23.0,3,0.3342797458171844,1566
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-SINGLE,"List the top 5 rows from the table `dataset_auto`, sorted by the column `Anno` in descending order.",meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['Aygo X', 'Toyota', 'Citycar', '72', '4.8', 'Repubblica Ceca', '2022'], ['EQA', 'Mercedes-Benz', 'SUV', '190', '0.0 (elettrica)', 'Germania', '2022'], ['Talisman', 'Renault', 'Berlina', '160', '5.5', 'Francia', '2022'], ['Forester', 'Subaru', 'SUV', '150', '6.7', 'Giappone', '2022'], ['Leon', 'SEAT', 'Hatchback', '130', '5.2', 'Spagna', '2022']]",SELECT * FROM `dataset_auto` ORDER BY `Anno` DESC LIMIT 5,0,remove,0.0,0.4,0.429,0.0,1.0,0.0,0.5,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,7,1,5.0,14.8,False,False,False,True,True,False,False,False,False,False,0.2711894946734111,99,23,15,5,3,1,1,0,23.0,3,0.3905707001686096,1567
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-PROJECT,Select only the column `Marca` from `dataset_auto`. Sort it in ascending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['Alfa Romeo'], ['Fiat'], ['Nissan'], ['Peugeot'], ['Skoda']]",SELECT `Marca` FROM `dataset_auto` ORDER BY `Marca` ASC LIMIT 5,0,remove,0.0,0.4,0.4,0.0,1.0,0.4,1.0,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2201174656391143,109,24,16,4,4,1,3,0,12.0,2,0.1804366409778595,1567
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-PROJECT,Select only the column `Anno` from `dataset_auto`. Sort it in ascending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[2020], [2020], [2020], [2020], [2020]]",SELECT `Anno` FROM `dataset_auto` ORDER BY `Anno` ASC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2257478669166565,108,24,16,4,4,1,2,0,12.0,2,0.3236966729164123,1568
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-PROJECT,Select only the column `Anno` from `dataset_auto`. Sort it in descending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['2022'], ['2022'], ['2022'], ['2022'], ['2022']]",SELECT `Anno` FROM `dataset_auto` ORDER BY `Anno` DESC LIMIT 5,0,remove,0.0,1.0,0.5,0.0,1.0,0.0,1.0,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2255847398281097,109,24,16,4,4,1,2,0,12.0,2,0.3171184957027435,1568
data/db_categorical_simple.sqlite,dataset_film_famosi,ORDERBY-PROJECT,Select only the column `Anno` from `dataset_film_famosi`. Sort it in ascending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[1942], [1942], [1962], [1972], [1974]]",SELECT `Anno` FROM `dataset_film_famosi` ORDER BY `Anno` ASC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,6,25,3,3,6.0,25.0,1.0,18.666666666666668,25,0.0,6,25,3,3,1.0,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2351638207435608,115,24,16,5,4,1,2,0,12.0,2,0.4165955185890198,1423
data/db_categorical_simple.sqlite,dataset_film_famosi,ORDERBY-PROJECT,Select only the column `Anno` from `dataset_film_famosi`. Sort it in descending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[2019], [2018], [2017], [2016], [2015]]",SELECT `Anno` FROM `dataset_film_famosi` ORDER BY `Anno` DESC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,6,25,3,3,6.0,25.0,1.0,18.666666666666668,25,0.0,6,25,3,3,1.0,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2349537287712097,116,24,16,5,4,1,2,0,12.0,2,0.4088432192802429,1423
data/db_categorical_simple.sqlite,dataset_film_famosi,ORDERBY-PROJECT,Select only the column `Titolo` from `dataset_film_famosi`. Sort it in ascending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['Casablanca'], ['Il Padrino'], ['Il Padrino - Parte II'], ['Forrest Gump'], ['Pulp Fiction']]",SELECT `Titolo` FROM `dataset_film_famosi` ORDER BY `Titolo` ASC LIMIT 5,0,remove,0.0,0.2,0.2,0.0,1.0,0.2,1.0,1,6,25,3,3,6.0,25.0,1.0,18.666666666666668,25,0.0,6,25,3,3,1.0,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.226659212064743,117,24,16,4,4,1,3,0,12.0,2,0.323980301618576,1423
data/db_categorical_simple.sqlite,dataset_film_famosi,ORDERBY-PROJECT,Select only the column `Titolo` from `dataset_film_famosi`. Sort it in descending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['The Godfather: Part II'], ['The Silence of the Lambs'], ['The Lord of the Rings: The Return of the King'], ['Titanic'], ['The Shawshank Redemption']]",SELECT `Titolo` FROM `dataset_film_famosi` ORDER BY `Titolo` DESC LIMIT 5,0,remove,0.0,0.4,0.4,0.0,1.0,0.4,0.0,1,6,25,3,3,6.0,25.0,1.0,18.666666666666668,25,0.0,6,25,3,3,1.0,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2263266003608703,118,24,16,4,4,1,3,0,12.0,2,0.313165009021759,1423
data/db_categorical_simple.sqlite,monumenti_reali,ORDERBY-PROJECT,Select only the column `nome` from `monumenti_reali`. Sort it in ascending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['Colosseo'], ['Duomo di Milano'], ['Torre Eiffel'], ['Statua della Libertà'], ['Cristo Redentor']]",SELECT `nome` FROM `monumenti_reali` ORDER BY `nome` ASC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,5,30,2,3,5.0,30.0,0.6666666666666666,24.2,30,0.0,5,30,2,3,0.6666666666666666,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.213965288823843,111,24,16,4,4,2,2,0,12.0,2,0.021632220596075,1534
data/db_categorical_simple.sqlite,monumenti_reali,ORDERBY-PROJECT,Select only the column `anno_costruzione` from `monumenti_reali`. Sort it in ascending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[[72], [1173], [1240], [1260], [1280]]",SELECT `anno_costruzione` FROM `monumenti_reali` ORDER BY `anno_costruzione` ASC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,5,30,2,3,5.0,30.0,0.6666666666666666,24.2,30,0.0,5,30,2,3,0.6666666666666666,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2161935284018516,123,24,15,4,4,2,2,0,12.0,2,0.0473382100462913,1537
data/db_categorical_simple.sqlite,monumenti_reali,ORDERBY-PROJECT,Select only the column `materiale` from `monumenti_reali`. Sort it in descending order and return the first 5 values.,meta-llama/Llama-3.3-70B-Instruct-Turbo-Free,"[['Pietra'], ['Pietra'], ['Acciaio'], ['Pietra'], ['Pietra']]",SELECT `materiale` FROM `monumenti_reali` ORDER BY `materiale` DESC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,5,30,2,3,5.0,30.0,0.6666666666666666,24.2,30,0.0,5,30,2,3,0.6666666666666666,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2153626515984535,117,24,16,4,4,2,2,0,12.0,2,0.041566289961338,1536
data/db_categorical_simple.sqlite,dataset_animali,ORDERBY-PROJECT,Select only the column `Classe` from `dataset_animali`. Sort it in ascending order and return the first 5 values.,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Bird'], ['Bird'], ['Fish'], ['Mammal'], ['Mammal']]",SELECT `Classe` FROM `dataset_animali` ORDER BY `Classe` ASC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1,5,25,2,3,5.0,25.0,0.6666666666666666,17.0,25,0.0,5,25,2,3,0.6666666666666666,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2151000984191894,113,24,16,3,4,2,3,0,12.0,2,0.1700024604797363,1366
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-SINGLE,"List the top 5 rows from the table `dataset_auto`, sorted by the column `Tipo` in ascending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Model 3', 'Tesla', '2022', '283', '0.0 (elettrica)', 'USA', 'Elettrica'], ['500e', 'Fiat', '2023', '118', '0.0 (elettrica)', 'Italia', 'Elettrica'], ['Leaf', 'Nissan', '2022', '150', '0.0 (elettrica)', 'Giappone', 'Elettrica'], ['EQA', 'Mercedes-Benz', '2023', '190', '0.0 (elettrica)', 'Germania', 'Elettrica'], ['Outlander PHEV', 'Mitsubishi', '2021', '224', '2.0 (plug-in hybrid)', 'Giappone', 'Hybrid']]",SELECT * FROM `dataset_auto` ORDER BY `Tipo` ASC LIMIT 5,0,remove,0.0,0.385,0.385,0.0,1.0,0.0,0.5,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,7,1,5.0,14.8,False,False,False,True,True,False,False,False,False,False,0.268837856499354,98,23,15,5,3,1,2,0,23.0,3,0.3342797458171844,1566
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-SINGLE,"List the top 5 rows from the table `dataset_auto`, sorted by the column `Anno` in descending order.",deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,[],SELECT * FROM `dataset_auto` ORDER BY `Anno` DESC LIMIT 5,0,remove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,7,1,5.0,14.8,False,False,False,True,True,False,False,False,False,False,0.2711894946734111,99,23,15,5,3,1,1,0,23.0,3,0.3905707001686096,1567
data/db_categorical_simple.sqlite,dataset_auto,ORDERBY-PROJECT,Select only the column `Marca` from `dataset_auto`. Sort it in ascending order and return the first 5 values.,deepseek-ai/DeepSeek-R1-Distill-Llama-70B-free,"[['Alfa Romeo'], ['Audi'], ['BMW'], ['Dacia'], ['Fiat']]",SELECT `Marca` FROM `dataset_auto` ORDER BY `Marca` ASC LIMIT 5,0,remove,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7,25,3,4,7.0,25.0,0.75,14.571428571428571,25,0.0,7,25,3,4,0.75,1,1,5.0,11.8,False,False,False,True,True,False,False,False,False,False,0.2201174656391143,109,24,16,4,4,1,3,0,12.0,2,0.1804366409778595,1567
