Name,Class,Habitat,Average lifespan,Average weight (kg)
African elephant,Mammal,African savannas,70,6000.0
Lion,Mammal,Savannas,14,190.0
Nile crocodile,Reptile,Rivers and lakes,70,500.0
Golden eagle,Bird,Mountains,25,6.0
Emperor penguin,Bird,Antarctica,20,30.0
Great white shark,Fish,Oceans,70,1100.0
Polar bear,Mammal,Arctic,25,450.0
Red kangaroo,Mammal,Australian deserts,23,85.0
Giraffe,Mammal,Savannas,25,1200.0
Giant tortoise,Reptile,Galápagos Islands,100,250.0
Black panther,Mammal,Tropical forests,12,90.0
Orangutan,Mammal,Rainforests,30,75.0
King cobra,Reptile,Tropical forests,20,6.0
Peregrine falcon,Bird,Cliffs and urban areas,15,1.0
Blue whale,Mammal,Oceans,90,140000.0
Hippopotamus,Mammal,African rivers,40,1500.0
Bengal tiger,Mammal,Forests,15,220.0
Reticulated python,Reptile,Tropical forests,20,75.0
Macaw parrot,Bird,Rainforests,50,1.2
White rhinoceros,Mammal,African savannas,50,2400.0
Gray wolf,Mammal,Forests and tundra,13,45.0
Monk seal,Mammal,Coastal areas,30,300.0
Panther chameleon,Reptile,Madagascar forests,5,0.2
Seahorse,Fish,Coral reefs,4,0.05
Wandering albatross,Bird,Oceans,50,11.0
